Tahun,Provinsi,Jml_Kejahatan,Risiko_per_100rb,Pct_Selesai,Selang_Waktu
2017,Aceh,8885.0,171.0,27.19,59.0
2017,Sumatera Utara,39867.0,280.0,67.3,13.0
2017,Sumatera Barat,13205.0,248.0,42.88,39.0
2017,Riau,6869.0,103.0,54.33,116.0
2017,Jambi,9531.0,271.0,65.2,55.0
2017,Sumatera Selatan,15728.0,190.0,66.85,33.0
2017,Bengkulu,4867.0,252.0,49.72,147.0
2017,Lampung,11089.0,134.0,68.88,47.0
2017,Kepulauan Bangka Belitung,1931.0,135.0,64.84,432.0
2017,Kepulauan Riau,3673.0,176.0,56.3,223.0
2017,Metro Jaya,34767.0,138.0,80.75,15.0
2017,Jawa Barat,25183.0,65.0,57.08,20.0
2017,Jawa Tengah,12033.0,35.0,93.83,43.0
2017,DI Yogyakarta,7251.0,193.0,39.62,112.0
2017,Jawa Timur,34598.0,88.0,54.67,15.0
2017,Banten,3692.0,55.0,61.32,222.0
2017,Bali,3589.0,85.0,79.41,226.0
2017,Nusa Tenggara Barat,8132.0,164.0,52.35,104.0
2017,Nusa Tenggara Timur,6729.0,127.0,70.98,118.0
2017,Kalimantan Barat,6020.0,122.0,72.18,127.0
2017,Kalimantan Tengah,2699.0,104.0,85.44,314.0
2017,Kalimantan Selatan,6578.0,160.0,76.09,119.0
2017,Kalimantan Timur,9149.0,214.0,69.81,57.0
2017,Sulawesi Utara,7981.0,324.0,70.43,105.0
2017,Sulawesi Tengah,10240.0,345.0,46.75,51.0
2017,Sulawesi Selatan,21616.0,256.0,62.07,24.0
2017,Sulawesi Tenggara,2866.0,110.0,69.54,303.0
2017,Gorontalo,3099.0,265.0,91.32,249.0
2017,Sulawesi Barat,1841.0,146.0,55.89,445.0
2017,Maluku,3086.0,177.0,22.23,250.0
2017,Maluku Utara,789.0,65.0,44.61,1106.0
2017,Papua Barat,2284.0,146.0,10.11,350.0
2017,Papua,6785.0,208.0,68.52,117.0
2018,Aceh,8758.0,169.0,38.27,100.0
2018,Sumatera Utara,32922.0,231.0,68.17,15.0
2018,Sumatera Barat,12953.0,243.0,45.27,40.0
2018,Riau,7246.0,109.0,51.66,112.0
2018,Jambi,6313.0,180.0,68.86,123.0
2018,Sumatera Selatan,13558.0,164.0,74.82,38.0
2018,Bengkulu,3389.0,175.0,83.59,235.0
2018,Lampung,8963.0,108.0,71.84,58.0
2018,Kepulauan Bangka Belitung,2048.0,143.0,55.52,416.0
2018,Kepulauan Riau,3409.0,164.0,59.75,234.0
2018,Metro Jaya,34655.0,137.0,88.23,15.0
2018,Jawa Barat,16209.0,42.0,74.96,32.0
2018,Jawa Tengah,9127.0,27.0,76.48,57.0
2018,DI Yogyakarta,6731.0,179.0,36.93,118.0
2018,Jawa Timur,26295.0,67.0,58.74,19.0
2018,Banten,3623.0,54.0,61.36,225.0
2018,Bali,3212.0,76.0,74.93,243.0
2018,Nusa Tenggara Barat,6451.0,130.0,59.08,121.0
2018,Nusa Tenggara Timur,6257.0,118.0,70.32,124.0
2018,Kalimantan Barat,5814.0,118.0,77.02,130.0
2018,Kalimantan Tengah,5699.0,138.0,72.19,132.0
2018,Kalimantan Selatan,2667.0,102.0,75.93,317.0
2018,Kalimantan Timur,6287.0,176.0,75.76,123.0
2018,Kalimantan Utara,396.0,57.0,69.95,2217.0
2018,Sulawesi Utara,10247.0,416.0,53.74,51.0
2018,Sulawesi Tengah,9379.0,316.0,56.39,56.0
2018,Sulawesi Selatan,21498.0,255.0,53.59,24.0
2018,Sulawesi Tenggara,1263.0,49.0,69.6,656.0
2018,Gorontalo,2836.0,243.0,64.49,305.0
2018,Sulawesi Barat,1817.0,144.0,56.19,449.0
2018,Maluku,2751.0,158.0,24.25,311.0
2018,Maluku Utara,722.0,60.0,56.09,1207.0
2018,Papua Barat,3475.0,380.0,27.48,231.0
2018,Papua,7311.0,224.0,62.41,111.0
2019,Aceh,7483.0,144.0,35.39,1.0
2019,Sumatera Utara,30831.0,216.0,74.91,0.0
2019,Sumatera Barat,11064.0,208.0,54.19,0.0
2019,Riau,6570.0,99.0,44.72,1.0
2019,Jambi,6848.0,195.0,68.79,1.0
2019,Sumatera Selatan,12861.0,156.0,69.22,0.0
2019,Bengkulu,3453.0,179.0,67.54,2.0
2019,Lampung,8534.0,103.0,75.44,1.0
2019,Kepulauan Bangka Belitung,1953.0,136.0,54.58,4.0
2019,Kepulauan Riau,3159.0,152.0,63.31,2.0
2019,Metro Jaya,31934.0,127.0,99.69,0.0
2019,Jawa Barat,13145.0,34.0,83.64,0.0
2019,Jawa Tengah,10317.0,30.0,64.63,0.0
2019,DI Yogyakarta,6650.0,177.0,67.76,1.0
2019,Jawa Timur,26985.0,69.0,44.68,0.0
2019,Banten,3287.0,49.0,63.01,2.0
2019,Bali,3047.0,72.0,83.26,2.0
2019,Nusa Tenggara Barat,8185.0,165.0,49.0,1.0
2019,Nusa Tenggara Timur,5865.0,111.0,54.71,1.0
2019,Kalimantan Barat,4721.0,96.0,89.3,1.0
2019,Kalimantan Tengah,2444.0,94.0,87.19,3.0
2019,Kalimantan Selatan,5375.0,130.0,81.32,1.0
2019,Kalimantan Timur,4417.0,124.0,84.31,1.0
2019,Kalimantan Utara,876.0,127.0,84.36,10.0
2019,Sulawesi Utara,7425.0,302.0,63.53,1.0
2019,Sulawesi Tengah,6265.0,211.0,65.36,1.0
2019,Sulawesi Selatan,16008.0,190.0,71.53,0.0
2019,Sulawesi Tenggara,1213.0,47.0,34.46,7.0
2019,Gorontalo,2367.0,203.0,72.58,3.0
2019,Sulawesi Barat,1863.0,148.0,61.03,4.0
2019,Maluku,3495.0,200.0,44.01,2.0
2019,Maluku Utara,718.0,59.0,60.86,12.0
2019,Papua Barat,2972.0,325.0,44.21,2.0
2019,Papua,6994.0,214.0,51.24,1.0
2020,Aceh,7745.0,149.0,37.91,107.0
2020,Sumatera Utara,32990.0,231.0,68.7,15.0
2020,Sumatera Barat,7992.0,150.0,83.93,105.0
2020,Riau,8194.0,123.0,38.1,104.0
2020,Jambi,4709.0,134.0,85.54,151.0
2020,Sumatera Selatan,12189.0,147.0,76.76,43.0
2020,Bengkulu,3333.0,172.0,68.35,237.0
2020,Lampung,7594.0,92.0,64.17,109.0
2020,Kepulauan Bangka Belitung,1931.0,133.0,67.48,432.0
2020,Kepulauan Riau,2843.0,127.0,66.83,304.0
2020,Metro Jaya,26585.0,105.0,100.0,19.0
2020,Jawa Barat,11256.0,29.0,88.23,46.0
2020,Jawa Tengah,10712.0,31.0,36.35,49.0
2020,DI Yogyakarta,7721.0,200.0,95.62,108.0
2020,Jawa Timur,17642.0,44.0,52.74,29.0
2020,Banten,4250.0,63.0,73.08,203.0
2020,Bali,2597.0,60.0,90.26,322.0
2020,Nusa Tenggara Barat,8591.0,167.0,49.27,101.0
2020,Nusa Tenggara Timur,4790.0,88.0,49.27,149.0
2020,Kalimantan Barat,3858.0,76.0,100.0,216.0
2020,Kalimantan Tengah,2629.0,62.0,78.89,319.0
2020,Kalimantan Selatan,5206.0,196.0,82.29,140.0
2020,Kalimantan Timur,3609.0,100.0,89.33,225.0
2020,Kalimantan Utara,1015.0,146.0,81.48,2207.0
2020,Sulawesi Utara,6274.0,252.0,77.46,123.0
2020,Sulawesi Tengah,5454.0,179.0,68.57,136.0
2020,Sulawesi Selatan,12815.0,145.0,82.97,41.0
2020,Sulawesi Tenggara,2148.0,81.0,26.4,404.0
2020,Gorontalo,2518.0,214.0,70.73,328.0
2020,Sulawesi Barat,1704.0,125.0,63.5,508.0
2020,Maluku,5350.0,303.0,26.56,138.0
2020,Maluku Utara,850.0,69.0,55.29,1024.0
2020,Papua Barat,3162.0,328.0,31.78,246.0
2020,Papua,6962.0,208.0,55.67,115.0
2021,Aceh,6651.0,125.0,56.98,119.0
2021,Sumatera Utara,36534.0,250.0,68.37,14.0
2021,Sumatera Barat,5666.0,103.0,100.0,132.0
2021,Riau,7512.0,110.0,77.34,109.0
2021,Jambi,3701.0,104.0,79.19,222.0
2021,Sumatera Selatan,13037.0,153.0,74.0,40.0
2021,Bengkulu,3493.0,177.0,46.81,230.0
2021,Lampung,9764.0,115.0,64.32,53.0
2021,Kepulauan Bangka Belitung,1566.0,108.0,69.22,535.0
2021,Kepulauan Riau,2481.0,111.0,65.7,331.0
2021,Metro Jaya,29103.0,277.0,97.99,18.0
2021,Jawa Barat,7502.0,15.0,73.06,110.0
2021,Jawa Tengah,8909.0,26.0,70.78,58.0
2021,DI Yogyakarta,4774.0,123.0,100.0,150.0
2021,Jawa Timur,19257.0,48.0,55.35,27.0
2021,Banten,3434.0,27.0,76.09,233.0
2021,Bali,2404.0,55.0,84.69,338.0
2021,Nusa Tenggara Barat,6296.0,122.0,59.66,123.0
2021,Nusa Tenggara Timur,4909.0,90.0,33.06,147.0
2021,Kalimantan Barat,4048.0,80.0,91.45,209.0
2021,Kalimantan Tengah,2399.0,91.0,81.99,339.0
2021,Kalimantan Selatan,4973.0,118.0,78.56,145.0
2021,Kalimantan Timur,4564.0,126.0,63.39,155.0
2021,Kalimantan Utara,971.0,140.0,86.71,901.0
2021,Sulawesi Utara,6215.0,249.0,58.04,124.0
2021,Sulawesi Tengah,5139.0,169.0,53.4,142.0
2021,Sulawesi Selatan,14636.0,166.0,64.26,35.0
2021,Sulawesi Tenggara,2431.0,91.0,61.42,336.0
2021,Gorontalo,2445.0,208.0,54.6,334.0
2021,Sulawesi Barat,1500.0,110.0,75.13,550.0
2021,Maluku,3139.0,177.0,43.71,247.0
2021,Maluku Utara,1008.0,82.0,58.43,841.0
2021,Papua Barat,2784.0,289.0,32.83,308.0
2021,Papua,6236.0,186.0,42.45,124.0
